City,BHK,Location,Price,Area (sqft),Property Type,Furnishing,Property Facing
Hyderabad,1,Kondapur,20100,450,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,69000,1880,Flat,Furnished,East
Hyderabad,3,Kokapet,65000,1769,Flat,Semi-Furnished,East
Hyderabad,3,Kokapet,55000,894,Flat,Semi-Furnished,East
Hyderabad,3,Kokapet,70000,1565,Flat,Semi-Furnished,East
Hyderabad,4,Kondapur,75000,2800,Villa,Furnished,East
Hyderabad,3,Kokapet,60000,1957,Flat,Semi-Furnished,East
Hyderabad,4,Tellapur,80000,3000,Villa,Semi-Furnished,North
Hyderabad,4,Kokapet,100000,2610,Flat,Furnished,East
Hyderabad,3,Kondapur,58000,1800,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,50000,1777,Flat,Semi-Furnished,West
Hyderabad,4,Kondapur,50000,3200,Villa,Semi-Furnished,East
Hyderabad,4,Kondapur,30000,2400,Villa,Furnished,West
Hyderabad,2,Kondapur,10000,1355,House,Semi-Furnished,West
Hyderabad,4,Kondapur,50000,2700,House,Semi-Furnished,West
Hyderabad,2,Kondapur,20000,1175,Flat,Unfurnished,North - East
Hyderabad,3,Narsingi,70000,1715,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,45000,1350,Flat,Semi-Furnished,North - East
Hyderabad,3,Manikonda,85000,2605,Flat,Furnished,West
Hyderabad,4,Kondapur,100000,3000,Villa,Furnished,East
Hyderabad,2,Manikonda,53000,1319,Flat,Semi-Furnished,East
Hyderabad,4,Kondapur,35000,2800,Villa,Semi-Furnished,East
Hyderabad,3,Kondapur,75000,2452,Flat,Furnished,East
Hyderabad,2,Kondapur,10000,800,House,Semi-Furnished,East
Hyderabad,3,Miyapur,25000,1000,House,Semi-Furnished,East
Hyderabad,3,Kondapur,50000,1860,Flat,Semi-Furnished,North
Hyderabad,2,Gachibowli,51000,1100,Flat,Unfurnished,East
Hyderabad,4,Kondapur,90000,3000,Villa,Semi-Furnished,West
Hyderabad,3,Kondapur,73000,2813,Flat,Furnished,West
Hyderabad,3,Kondapur,70000,1610,Flat,Unfurnished,East
Hyderabad,3,Kondapur,65000,1511,Flat,Semi-Furnished,East
Hyderabad,4,Narsingi,70000,2500,Flat,Semi-Furnished,West
Hyderabad,3,Nalagandla,55000,1300,Flat,Semi-Furnished,West
Hyderabad,3,Gachibowli,70000,2300,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,83000,2653,Villa,Semi-Furnished,West
Hyderabad,2,Kondapur,57000,1100,Flat,Furnished,West
Hyderabad,4,Kondapur,40000,2800,Villa,Furnished,East
Hyderabad,3,Nalagandla,60000,1530,Flat,Semi-Furnished,East
Hyderabad,4,Kondapur,130000,2928,Flat,Semi-Furnished,West
Hyderabad,3,Kondapur,60000,2200,Flat,Semi-Furnished,West
Hyderabad,4,Kondapur,45000,2312,Villa,Semi-Furnished,West
Hyderabad,2,Gachibowli,55000,1283,Flat,Semi-Furnished,East
Hyderabad,2,Gachibowli,67000,1599,Flat,Furnished,East
Hyderabad,3,Kondapur,79000,2235,Flat,Semi-Furnished,West
Hyderabad,2,Kondapur,30000,909,Flat,Semi-Furnished,East
Hyderabad,3,Bachupally,42000,2007,House,Semi-Furnished,East
Hyderabad,3,Kollur,70000,3079,Villa,Semi-Furnished,East
Hyderabad,3,Kondapur,26000,1400,Flat,Semi-Furnished,East
Hyderabad,1,Gachibowli,25000,500,Flat,Furnished,East
Hyderabad,3,Kondapur,40000,1856,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,12000,100,House,Semi-Furnished,East
Hyderabad,4,Madhapur,80000,1800,Flat,Furnished,East
Hyderabad,3,Kondapur,65000,1969,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,28000,1700,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,35000,1800,Villa,Semi-Furnished,East
Hyderabad,3,Kondapur,15000,200,House,Semi-Furnished,East
Hyderabad,3,Hitech City,45000,1450,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,12500,1400,Villa,Unfurnished,North - East
Hyderabad,3,Kondapur,25000,1400,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,33000,1790,Flat,Unfurnished,West
Hyderabad,4,Miyapur,60000,3000,House,Unfurnished,East
Hyderabad,3,Kondapur,32500,1350,Flat,Semi-Furnished,East
Hyderabad,3,Kondapur,42999,1700,Flat,Semi-Furnished,West
Hyderabad,3,Kondapur,24000,1300,Flat,Semi-Furnished,North - East
Hyderabad,3,Kokapet,65000,1764,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,62000,1297,Flat,Furnished,East
Hyderabad,2,Kondapur,21000,1100,Flat,Unfurnished,East
Hyderabad,2,Kondapur,19000,1200,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,50000,1200,Flat,Furnished,East
Hyderabad,3,Kondapur,21000,1400,Flat,Unfurnished,East
Hyderabad,2,Kondapur,16000,950,House,Unfurnished,East
Hyderabad,2,Kondapur,40000,1100,Flat,Furnished,West
Hyderabad,3,Kondapur,25000,1600,Flat,Semi-Furnished,West
Hyderabad,3,Kondapur,62000,1700,Flat,Furnished,North - East
Hyderabad,3,Tellapur,48500,1800,Flat,Semi-Furnished,East
Hyderabad,3,Gachibowli,70000,1750,Flat,Furnished,East
Hyderabad,3,Kondapur,85000,2500,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,21000,1200,Flat,Unfurnished,West
Hyderabad,3,Miyapur,30000,1580,Flat,Furnished,West
Hyderabad,3,Kondapur,55000,2400,Villa,Furnished,West
Hyderabad,3,Bachupally,55000,3000,Villa,Furnished,East
Hyderabad,3,Kondapur,42000,2384,Villa,Semi-Furnished,East
Hyderabad,3,Kondapur,40000,1400,Flat,Furnished,East
Hyderabad,3,Kondapur,30000,1800,House,Furnished,North - East
Hyderabad,3,Kondapur,75000,2500,Flat,Semi-Furnished,South
Hyderabad,3,Kondapur,45000,2500,Flat,Semi-Furnished,West
Hyderabad,3,Kondapur,48000,2250,House,Semi-Furnished,East
Hyderabad,3,Kondapur,48000,1650,Flat,Furnished,East
Hyderabad,3,Kondapur,44000,1750,Flat,Furnished,East
Hyderabad,3,Manikonda,35000,1500,Flat,Semi-Furnished,South
Hyderabad,3,Kondapur,110000,1950,Flat,Furnished,West
Hyderabad,1,Kondapur,15000,425,House,Semi-Furnished,East
Hyderabad,3,Narsingi,70000,1700,Flat,Semi-Furnished,East
Hyderabad,2,Kondapur,30000,2100,House,Semi-Furnished,East
Hyderabad,3,Kondapur,55000,1232,Flat,Furnished,East
Hyderabad,3,Kondapur,55000,1900,Villa,Semi-Furnished,South - East
Hyderabad,3,Shamshabad,35000,2000,Flat,Unfurnished,East
Hyderabad,3,Kondapur,75000,1899,Flat,Furnished,East
Hyderabad,2,Gachibowli,48000,1283,Flat,Semi-Furnished,East
Hyderabad,3,Kompally,48000,1500,Flat,Semi-Furnished,North - East
Hyderabad,3,Kompally,30000,2400,Flat,Semi-Furnished,North - East
Hyderabad,1,Kondapur,13500,450,House,Semi-Furnished,East
Hyderabad,3,Kondapur,25000,1450,House,Unfurnished,North
Hyderabad,3,Kondapur,30000,1100,Flat,Furnished,East
Hyderabad,3,Kondapur,35000,3000,Villa,Semi-Furnished,West
Hyderabad,2,Kondapur,23000,1080,Flat,Semi-Furnished,North
Hyderabad,3,Kondapur,21000,195,House,Semi-Furnished,West
Hyderabad,3,Kondapur,30000,2500,Villa,Semi-Furnished,East
