City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing
Hyderabad,1,"Kondapur, Hyderabad",20100,450 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Aparna Serene Park, Kondapur, Hyderabad",69000,1880 sqft,Flat,Furnished,East
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",65000,1769 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Kokapet, Outer Ring Road Hyderabad",2.3 Lac,5100 sqft,Villa,Semi-Furnished,East
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",55000,894 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Sonthalia Fortune Sky Villas, Kokapet, Outer Ring Road, Hyderabad",4.5 Lac,7332 sqft,Flat,Unfurnished,
Hyderabad,3,"My Home Tarkshya, Kokapet, Outer Ring Road, Hyderabad",70000,1565 sqft,Flat,Semi-Furnished,East
Hyderabad,4,Peeramcheru Hyderabad,75000,2800 sqft,Villa,Furnished,East
Hyderabad,3,"My Home Tarkshya, Kokapet, Outer Ring Road, Hyderabad",60000,1957 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"My Home Bhooja, Hitech City, Hyderabad",2.9 Lac,4070 sqft,Flat,Semi-Furnished,West
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",80000,3000 sqft,Villa,Semi-Furnished,North
Hyderabad,4,"Poulomi 90, Kokapet, Outer Ring Road, Hyderabad",1 Lac,2610 sqft,Flat,Furnished,East
Hyderabad,3,Hyderabad,58000,1800 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Power Welfare Society, Hyderabad",50000,1777 sqft,Flat,Semi-Furnished,West
Hyderabad,4,Sainikpuri Hyderabad,50000,3200 sqft,Villa,Semi-Furnished,East
Hyderabad,4,Shankarpalle Rangareddy Hyderabad,30000,2400 sqft,Villa,Furnished,West
Hyderabad,2,Zahirabad Rural Hyderabad,10000,1355 sqft,House,Semi-Furnished,West
Hyderabad,4,"Kachiguda, NH 2 2 Hyderabad",50000,2700 sqft,House,Semi-Furnished,West
Hyderabad,2,"Nizampet, Hyderabad",20000,1175 sqft,Flat,Unfurnished,North - East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",70000,1715 sqft,Flat,Semi-Furnished,East
Hyderabad,3,Hyderabad,45000,1350 sqft,Flat,Semi-Furnished,North - East
Hyderabad,3,"Aparna WestSide, Manikonda Jagir, Hyderabad",85000,2605 sqft,Flat,Furnished,West
Hyderabad,4,Osman Nagar Hyderabad,1 Lac,3000 sqft,Villa,Furnished,East
Hyderabad,2,"Gowra Green Living, Manikonda Jagir, Hyderabad",53000,1319 sqft,Flat,Semi-Furnished,East
Hyderabad,4,Kapra Hyderabad,35000,2800 sqft,Villa,Semi-Furnished,East
Hyderabad,3,Hyderabad,75000,2452 sqft,Flat,Furnished,
Hyderabad,2,Chengicherla Hyderabad,10000,800 sqft,House,Semi-Furnished,
Hyderabad,3,Miyapur Road Hyderabad,25000,1000 sqft,House,Semi-Furnished,
Hyderabad,3,"Indu Fortune Fields Gardenia, Hyderabad",50000,1860 sqft,Flat,Semi-Furnished,North
Hyderabad,2,"Prestige High Fields, Gachibowli, Hyderabad",51000,1100 sqft,Flat,Unfurnished,East
Hyderabad,4,Power Welfare Society Hyderabad,90000,3000 sqft,Villa,Semi-Furnished,West
Hyderabad,3,"Western Exotica, Kothaguda, Hyderabad",73000,2813 sqft,Flat,Furnished,West
Hyderabad,3,"Honer Aquantis, Gopanpalle, Hyderabad",70000,1610 sqft,Flat,Unfurnished,East
Hyderabad,3,"My Home Avatar, Manchirevula, Outer Ring Road, Hyderabad",65000,1511 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",70000,1715 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"NCC Urban One, Narsingi, Outer Ring Road, Hyderabad",70000,2500 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",55000,1300 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road, Hyderabad",70000,2300 sqft,Flat,Semi-Furnished,East
Hyderabad,4,Appa Junction Area Hyderabad,1 Lac,3804 sqft,Villa,Semi-Furnished,West
Hyderabad,3,PJR Layout Hyderabad,83000,2653 sqft,Villa,Semi-Furnished,West
Hyderabad,4,Nalagandla Hyderabad,1.1 Lac,4000 sqft,Villa,Semi-Furnished,East
Hyderabad,2,"TNGOS COLONY PHASE 2, Bheem Reddy Nagar, Boduppal, Hyderabad",57000,1100 sqft,Flat,Furnished,West
Hyderabad,4,Chitrapuri Colony Hyderabad,2.8 Lac,2500 sqft,Villa,Furnished,East
Hyderabad,4,Sainikpuri Hyderabad,40000,2800 sqft,Villa,Furnished,
Hyderabad,4,Anjaiah Nagar Gachibowli Hyderabad,2.8 Lac,3800 sqft,Villa,Semi-Furnished,West
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",2 Lac,4570 sqft,Villa,Furnished,West
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",80000,3470 sqft,Villa,Semi-Furnished,East
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",60000,1530 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Aurobindo Kohinoor, Izzathnagar, Hyderabad",1.3 Lac,2928 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"HIG Chitrapuri HILLS, Khajaguda, Hyderabad",60000,2200 sqft,Flat,Semi-Furnished,West
Hyderabad,5,"Tellapur, Outer Ring Road Hyderabad",1.6 Lac,5400 sqft,Villa,Unfurnished,East
Hyderabad,4,Ramachandrapuram Hyderabad,45000,2312 sqft,Villa,Semi-Furnished,West
Hyderabad,2,"Prestige High Fields, Indira Nagar Gachibowli, Hyderabad",55000,1283 sqft,Flat,Semi-Furnished,East
Hyderabad,2,"Phoenix Golf Edge, Gachibowli, Hyderabad",67000,1599 sqft,Flat,Furnished,
Hyderabad,3,"My Home Tarkshya, Power Welfare Society, Hyderabad",79000,2235 sqft,Flat,Semi-Furnished,West
Hyderabad,2,"Provident Kenworth, Rajendranagar Mandal, Hyderabad",30000,909 sqft,Flat,Semi-Furnished,East
Hyderabad,3,Bachupally Hyderabad,42000,2007 sqft,House,Semi-Furnished,
Hyderabad,4,Kardanur Hyderabad,50000,8000 sqft,Villa,Furnished,East
Hyderabad,3,"Kollur, Outer Ring Road Hyderabad",70000,3079 sqft,Villa,Semi-Furnished,East
Hyderabad,3,"Hyderaguda, Hyderabad",26000,1400 sqft,Flat,Semi-Furnished,East
Hyderabad,1,"Gachibowli, Hyderabad",25000,500 sqft,Flat,Furnished,
Hyderabad,3,"Sahasram The Ananda, Pocharam, NH 2 2, Hyderabad",40000,1856 sqft,Flat,Semi-Furnished,
Hyderabad,2,Patel Nagar Amberpet Hyderabad,12000,100 sqyrd,House,Semi-Furnished,East
Hyderabad,4,"Rishi & Swarna Classic, Madhapur, Hyderabad",80000,1800 sqft,Flat,Furnished,East
Hyderabad,3,"My Home Raka, Serilingampalle M, Hyderabad",65000,1969 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"LB Nagar, NH 9, Hyderabad",28000,1700 sqft,Flat,Semi-Furnished,East
Hyderabad,3,Nizampet Hyderabad,35000,1800 sqft,Villa,Semi-Furnished,
Hyderabad,3,Almasguda Badangpet Hyderabad,15000,200 sqft,House,Semi-Furnished,East
Hyderabad,3,"Cybercity Marina Skies, Hitech City, Hyderabad",45000,1450 sqft,Flat,Semi-Furnished,East
Hyderabad,2,East Anandbagh Hyderabad,12500,1400 sqft,Villa,Unfurnished,North - East
Hyderabad,3,"Sri Bhavani BK Towers, Nacharam, Hyderabad",25000,1400 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Madhavaram Serenity, Kharmanghat, Hyderabad",33000,1790 sqft,Flat,Unfurnished,West
Hyderabad,5,Gachibowli Hyderabad,1.2 Lac,3020 sqft,Villa,Furnished,
Hyderabad,4,"Miyapur, NH 9 Hyderabad",60000,3000 sqft,House,Unfurnished,East
Hyderabad,5,Manikonda Jagir Hyderabad,2.8 Lac,5600 sqft,Villa,Furnished,North - East
Hyderabad,3,"Maruti Sadan Apartment, Begumpet, Hyderabad",32500,1350 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Aparna Hillpark Silver Oaks, Chanda Nagar, Hyderabad",42999,1700 sqft,Flat,Semi-Furnished,West
